LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID9312,9312,0,19.0,162.00476190476192,96.57619047619048,0.0,0.0,0,2.360174359706574,1,,173.55555555555554,184.0,105.0,255.0,3124.0,45.44450037550292,0.508257649598732,2.5739231134386458,-0.008442557284792096,-0.013285897964831551,4.554267327591953,1.5683399739419683,0.1949130675325256,2.9038776051502144,17.5,22.964036747836243,0.41701477874205156,0.7291666666666666,5.489454741364045
ID9322,9322,0,22.0,162.6185185185185,96.79629629629629,0.0,1.0,1,2.676186174229157,1,,161.2608695652174,135.0,92.0,255.0,3709.0,57.06234022485197,0.4659619185043446,1.7965410709625622,0.04528036163464458,0.010366550133135007,5.154127328344551,1.6627371092698988,0.0935823157256006,3.0997848665371444,22.5,23.342617547667327,0.5189114732673237,0.9183673469387755,4.921055866722853
ID9294,9294,0,21.0,163.21052631578948,96.53508771929825,0.0,2.0,2,2.4592453796829674,1,,195.3,194.0,47.0,255.0,3906.0,55.985994489223536,0.5181815564448796,2.381283385868592,-0.16800736116368542,0.01177376980269739,4.3321431598753355,1.7171974430835402,3.113639945866713,2.52279851529256,19.0,21.77269903474535,0.5036616991755758,0.7916666666666666,4.994999727398976
ID9341,9341,0,27.0,162.24,96.40666666666667,0.0,3.0,3,2.8209479177387817,1,,188.30769230769232,189.0,77.0,255.0,4896.0,61.16389080545431,0.5420951299363848,2.1645483569881026,-0.067495717268109,0.027569036733659204,5.311541720211337,1.7361531389395557,3.1023132156534032,3.059373969427393,25.000000000000004,25.77269903474535,0.47296615943101705,0.8064516129032259,5.15453980694907
ID9266,9266,0,15.0,161.88709677419354,96.37096774193549,0.0,4.0,4,2.221216611645239,1,,187.125,214.0,48.0,255.0,2994.0,58.57857970282311,0.42040842145214175,1.8909547654858225,-0.1550438811297577,-0.07562126581774985,4.06341564228329,1.4101747242740192,0.058809140564991924,2.881497996197033,15.5,19.594553449872045,0.5073069604506837,0.9117647058823529,4.977021553291541
ID9283,9283,0,1.0,149.16666666666666,101.83333333333333,0.0,5.0,5,0.5641895835477563,1,,149.0,149.0,149.0,149.0,149.0,NaN,0.33233979135618474,NaN,0.6093742383786946,-0.570229200769534,1.8500048694887372,0.713019489902995,2.2506380259973824,2.5946063125713814,1.0,5.23606797749979,0.45835219100318675,1.0,5.23606797749979
ID9272,9272,0,4.0,155.0,99.5,0.0,6.0,6,1.1283791670955126,1,,132.25,130.0,118.0,161.0,529.0,19.872510326243805,0.29129373474369413,3.002472545598347,-2.9823518844587343E-16,6.754957737689004E-17,2.1161526372681356,1.0916521890687163,0.20881190893810597,1.9384861391368766,4.0,8.47213595499958,0.7002998325809342,1.0,4.23606797749979
